,In-degree,Out-degree,Betweenness,Closeness,Eigenvector
kamalaharris,318.0,11.0,0.002037411385268937,0.6339994089431449,0.07553322079974462
cmclymer,68.0,25.0,0.000403699094008277,0.4926862876726849,0.01791751822243056
berniceking,74.0,15.0,0.00038715469710164004,0.5006024407263394,0.019738568897087878
sea_stankk,27.0,57.99999999999999,3.868914905183222e-05,0.4660166595650467,0.012011749744527359
tayandersonco,218.0,98.00000000000001,0.0021435384165940925,0.5625858899650262,0.06071647166900757
thatmushroom,47.99999999999999,47.99999999999999,0.00010134201931853095,0.47003404456129705,0.0178515182760862
projectlincoln,142.0,16.0,0.0005270207672432039,0.529358729797189,0.030598271898539406
perkeliz,33.0,173.0,0.00017229018093517645,0.463376338547681,0.014177515003973858
sheisstocked,23.0,53.0,6.384871861195669e-05,0.4585055291025406,0.00960699663621165
krosenbarger7,23.0,84.0,5.340062806404306e-05,0.46868724214135066,0.012260001764981949
shannonrwatts,186.99999999999997,73.0,0.010047305996821142,0.5554222326225174,0.05195803589677899
lwidd,19.0,32.0,9.604287251648073e-06,0.4478353114505993,0.008444603068132285
danrather,135.0,34.0,0.0006258182048316404,0.5315088464901101,0.030858479105449393
preetbharara,158.0,49.00000000000001,0.008416068712252305,0.5438797922105781,0.038057775999922674
michelleobama,242.0,1.0,3.873260354799314e-06,0.5899796122897435,0.059582716718772306
tedlieu,138.0,60.0,0.006124299901910388,0.5336765008395803,0.03361039624762689
stephenking,69.0,9.0,4.957942769732977e-05,0.5006024407263394,0.015641189838757456
misterkerwin,52.0,299.0,0.0017723252285845733,0.47138860953121436,0.015291960946293785
fosterfox137,10.0,16.0,2.820627783686326e-06,0.4226662726287633,0.004397253576250435
drapryla,63.0,57.0,0.0001183715413983725,0.4879100596788408,0.021721568472632468
reghan_layne_,10.0,43.0,7.492068668472971e-06,0.4490647838224609,0.005832481790024506
marth_hm,7.0,35.0,6.759893413972092e-06,0.4405975690433168,0.00370544586154937
geochemandrew,7.0,94.99999999999999,1.3606356285162992e-05,0.44000496975744824,0.004289010374873443
a_pigott,42.0,54.0,9.563097256372635e-05,0.4594714817621668,0.015446112049489718
alaskajill,15.0,89.0,3.8869904750862266e-05,0.4581844467992476,0.0073210879176800235
mrfasthorse,30.0,90.0,6.099083875266064e-05,0.46634881684199964,0.013273760592122904
mosesbravo,4.0,64.0,6.666009790653998e-06,0.40239076877572294,0.0019268881110010808
mschreiner_mike,7.0,63.0,1.592840989523614e-05,0.4364825817407108,0.0036258044828983635
laurenbenet,42.0,112.0,0.0002501388992727154,0.47003404456129705,0.015343718842149117
kathygard,16.0,101.0,7.17675901462515e-05,0.4509217022945042,0.006534492891355976
andrewbaron,28.0,54.0,5.291442968929515e-05,0.4741212971226997,0.013339193191203436
kevinlehrer5h,14.0,85.0,2.5633216472998906e-05,0.43561077898090916,0.006323102487072794
davidpenzkover,13.0,89.0,4.839389384205063e-05,0.4388245405964625,0.006336275045396387
chaota,11.0,101.0,6.253506540502411e-05,0.44814204796529145,0.00526178182807846
josapagosa,36.0,109.0,0.00017697093320740226,0.4765385215071562,0.01320571717338807
floresne,57.99999999999999,103.0,0.0003047562869433211,0.4835826977304697,0.019547773294747398
boulderdsa,63.0,70.0,0.00020204256305540603,0.4748094267266513,0.021886758171150524
ucwcolorado,105.0,62.0,0.0005715442929691649,0.5002197171478024,0.03140707125463691
lisamharris,28.0,67.0,7.763382594193195e-05,0.460441513039638,0.010975007437435479
dougbachman,21.0,82.0,2.755230543867248e-05,0.4503010254847388,0.009644422779029285
scottlett,28.999999999999996,83.0,9.70714255487877e-05,0.46868724214135066,0.013197769556472286
idothethinking,27.0,2.9999999999999996,3.6926473491669237e-06,0.44268429636625545,0.008504072516772434
boulder_patch,26.0,102.0,0.00010653396283994462,0.4594714817621668,0.010205694785217491
keishabottoms,23.0,22.0,5.398517880044611e-05,0.4581844467992476,0.0054126502002595535
cuboulderpolice,134.0,20.0,7.711683794987354e-05,0.5209294506602911,0.042857023788159095
bldrcosheriff,187.99999999999997,25.0,0.0003815620315817551,0.5434280648084099,0.05180308641954472
carbonhound,11.999999999999998,55.0,3.3578159081607726e-05,0.45123268277884515,0.005917774927746817
adamswetlik,57.99999999999999,0.0,0.0,0.4758867299394563,0.01680830356432665
cindy4council,44.0,26.0,4.386440387314159e-05,0.4690232186590147,0.013189012592359097
marydoloyoung,87.0,1.0,1.6525259814384947e-05,0.49267852896885156,0.026410750018195067
callmex,136.0,9.0,0.00012804833671365044,0.530646707241951,0.03557825008329878
seancllns,91.0,45.0,0.0001793655900941574,0.4952970401433199,0.03269101919492756
togethr4boulder,49.00000000000001,14.0,3.3183945341930927e-05,0.46568497510984025,0.012862155084408822
ironstache,45.0,35.0,0.001482271115699219,0.4814476747824323,0.012784524017915912
chasbrennan,136.0,72.0,0.0007431765048400228,0.5230115028212035,0.047879669684831226
boulderna,31.0,23.0,3.24140554417016e-05,0.456904601975786,0.009800391481739678
chaspinrad,114.99999999999999,60.0,0.0004751628258140482,0.5068066537794931,0.03927731248282737
spacex,82.0,2.9999999999999996,0.0014827150344304092,0.5071995271545159,0.017144149034609854
elonmusk,152.0,2.0,6.052192378317717e-05,0.5452394916911045,0.03289687290270417
denverpost,306.0,31.0,0.0009388646830710932,0.6069456308249773,0.09077135627357513
coloradodems,156.0,93.99999999999999,0.0013737699771176057,0.5367410910823015,0.04956307477933305
pontifex,80.0,0.0,0.0,0.5039901559686176,0.018280042845039497
daniellemorrill,30.0,78.0,0.0003762203825005717,0.46011771450726124,0.007560995376223317
planetaryemc2,27.0,68.0,5.4814028929160046e-05,0.4617412773672022,0.011291324170108164
indivisiblefrr,104.0,30.0,0.00014867467557661213,0.5025248771346587,0.03228143053227867
saaketatsu,16.0,129.0,5.604565640519411e-05,0.41568449175941896,0.006433648213754668
firstbiteboco,11.999999999999998,42.0,1.743558444415773e-05,0.4540509299301357,0.0062806623598533244
