ELECTION,PRECINCT,AGE,VOTERS,VOTED,TURNOUT,CYCLE
2000,2181007843,18-24,7.0,7.0,1.0,Even
2000,2181007843,25-34,79.0,73.0,0.9240506329113924,Even
2000,2181007843,35-44,129.0,122.0,0.9457364341085271,Even
2000,2181007843,45-54,146.0,140.0,0.958904109589041,Even
2000,2181007843,55-64,58.0,56.0,0.9655172413793104,Even
2000,2181007843,65+,19.0,19.0,1.0,Even
2000,2181007844,18-24,9.0,4.0,0.4444444444444444,Even
2000,2181007844,25-34,32.0,30.0,0.9375,Even
2000,2181007844,35-44,55.0,50.0,0.9090909090909091,Even
2000,2181007844,45-54,55.0,50.0,0.9090909090909091,Even
2000,2181007844,55-64,28.0,27.0,0.9642857142857143,Even
2000,2181007844,65+,11.0,11.0,1.0,Even
2000,2181007845,18-24,6.0,1.0,0.16666666666666666,Even
2000,2181007845,25-34,31.0,27.0,0.8709677419354839,Even
2000,2181007845,35-44,40.0,38.0,0.95,Even
2000,2181007845,45-54,38.0,37.0,0.9736842105263158,Even
2000,2181007845,55-64,18.0,17.0,0.9444444444444444,Even
2000,2181007845,65+,5.0,5.0,1.0,Even
2000,2181007846,18-24,,0.0,,Even
2000,2181007846,25-34,4.0,4.0,1.0,Even
2000,2181007846,35-44,5.0,3.0,0.6,Even
2000,2181007846,45-54,22.0,21.0,0.9545454545454546,Even
2000,2181007846,55-64,22.0,20.0,0.9090909090909091,Even
2000,2181007846,65+,41.0,40.0,0.975609756097561,Even
2000,2181007847,18-24,3.0,2.0,0.6666666666666666,Even
2000,2181007847,25-34,,0.0,,Even
2000,2181007847,35-44,3.0,2.0,0.6666666666666666,Even
2000,2181007847,45-54,3.0,3.0,1.0,Even
2000,2181007847,55-64,,0.0,,Even
2000,2181007847,65+,,0.0,,Even
2000,2181007848,18-24,8.0,7.0,0.875,Even
2000,2181007848,25-34,31.0,30.0,0.967741935483871,Even
2000,2181007848,35-44,19.0,18.0,0.9473684210526315,Even
2000,2181007848,45-54,21.0,18.0,0.8571428571428571,Even
2000,2181007848,55-64,11.0,11.0,1.0,Even
2000,2181007848,65+,3.0,2.0,0.6666666666666666,Even
2000,2181007849,18-24,,0.0,,Even
